표준코드,ticker,한글 종목명,name,영문 종목명,start_date,시장구분,증권구분,소속부,주식종류,액면가,상장주식수,산업분류
KR7032830002,032830,삼성생명보험보통주,삼성생명,Samsung Life Insurance,2010/05/12,KOSPI,주권,,보통주,500,"200,000,000",금융업
KR7018260000,018260,삼성에스디에스보통주,삼성에스디에스,"SAMSUNG SDS CO., LTD.",2014/11/14,KOSPI,주권,,보통주,500,"77,377,800",서비스업
KR7028050003,028050,삼성엔지니어링보통주,삼성엔지니어링,SamsungEngineering,1996/12/24,KOSPI,주권,,보통주,"5,000","196,000,000",서비스업
KR7009151002,009155,삼성전기1우선주,삼성전기우,SamsungElectroMechanics(1P),1989/10/10,KOSPI,주권,,구형우선주,"5,000","2,906,984",전기전자
KR7009150004,009150,삼성전기보통주,삼성전기,SamsungElectroMechanics,1979/02/27,KOSPI,주권,,보통주,"5,000","74,693,696",전기전자
KR7005931001,005935,삼성전자1우선주,삼성전자우,SamsungElectronics(1P),1989/09/25,KOSPI,주권,,구형우선주,100,"822,886,700",전기전자
KR7005930003,005930,삼성전자보통주,삼성전자,SamsungElectronics,1975/06/11,KOSPI,주권,,보통주,100,"5,969,782,550",전기전자
KR7001360007,001360,삼성제약,삼성제약,SAMSUNG PHARMACEUTICAL,1975/07/04,KOSPI,주권,,보통주,500,"67,162,079",의약품
KR7010141000,010145,삼성중공업1우선주,삼성중공우,SamsungHeavyIndustries(1P),1994/11/22,KOSPI,주권,,구형우선주,"1,000","114,845",운수장비
KR7010140002,010140,삼성중공업보통주,삼성중공업,SamsungHeavyIndustries,1994/01/28,KOSPI,주권,,보통주,"1,000","880,000,000",운수장비
KR7016360000,016360,삼성증권보통주,삼성증권,SamsungSecurities,1988/03/28,KOSPI,주권,,보통주,"5,000","89,300,000",금융업
KR7068290006,068290,삼성출판사보통주,삼성출판사,SAMSUNG PUBLISHING,2002/08/05,KOSPI,주권,,보통주,500,"10,000,000",서비스업
KR7029780004,029780,삼성카드 보통주,삼성카드,"SAMSUNG CARD CO., LTD.",2007/06/27,KOSPI,주권,,보통주,"5,000","115,858,891",금융업
KR7000811000,000815,삼성화재해상보험1우선주,삼성화재우,SamsungFire&MarineInsurance(1P),1990/04/10,KOSPI,주권,,구형우선주,500,"3,192,000",금융업
